title,description,class
Live by Night,"description: A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.; categories: Crime,Drama",Pelicula
Avatar,"description: A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.; categories: Action,Adventure,Fantasy",Pelicula
The Hateful Eight,"description: In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.; categories: Crime,Drama,Mystery",Pelicula
The Accountant,"description: As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.; categories: Action,Crime,Drama",Pelicula
Prisoners,"description: When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.; categories: Crime,Drama,Mystery",Pelicula
Warcraft,"description: As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.; categories: Action,Adventure,Fantasy",Pelicula
The Help,"description: An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.; categories: Drama",Pelicula
War Dogs,"description: Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.; categories: Comedy,Crime,Drama",Pelicula
Avengers: Age of Ultron,"description: When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.; categories: Action,Adventure,Sci-Fi",Pelicula
The Nice Guys,"description: In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.; categories: Action,Comedy,Crime",Pelicula
Kimi no na wa,"description: Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?; categories: Animation,Drama,Fantasy",Pelicula
The Void,"description: Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures.; categories: Horror,Mystery,Sci-Fi",Pelicula
Personal Shopper,"description: A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.; categories: Drama,Mystery,Thriller",Pelicula
The Departed,"description: An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.; categories: Crime,Drama,Thriller",Pelicula
Legend,"description: Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.; categories: Biography,Crime,Drama",Pelicula
Thor,"description: The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.; categories: Action,Adventure,Fantasy",Pelicula
The Martian,"description: An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.; categories: Adventure,Drama,Sci-Fi",Pelicula
Contratiempo,"description: A young businessman faces a lawyer trying to prove his innocence by the assassination of his lover.; categories: Crime,Mystery,Thriller",Pelicula
The Man from U.N.C.L.E.,"description: In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.; categories: Action,Adventure,Comedy",Pelicula
Hell or High Water,"description: A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.; categories: Crime,Drama,Thriller",Pelicula
The Comedian,description: A look at the life of an aging insult comic named Jack Burke.; categories: Comedy,Pelicula
The Legend of Tarzan,"description: Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.; categories: Action,Adventure,Drama",Pelicula
All We Had,description: A mother struggles to make a better life for her daughter.; categories: Drama,Pelicula
Ex Machina,"description: A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.; categories: Drama,Mystery,Sci-Fi",Pelicula
The Belko Experiment,"description: In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.; categories: Action,Horror,Thriller",Pelicula
12 Years a Slave,"description: In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.; categories: Biography,Drama,History",Pelicula
The Bad Batch,"description: A dystopian love story in a Texas wasteland and set in a community of cannibals.; categories: Romance,Sci-Fi",Pelicula
300,"description: King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.; categories: Action,Fantasy,War",Pelicula
Harry Potter and the Deathly Hallows: Part 2,"description: Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.; categories: Adventure,Drama,Fantasy",Pelicula
Office Christmas Party,"description: When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...; categories: Comedy",Pelicula
The Neon Demon,"description: When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.; categories: Horror,Thriller",Pelicula
Dangal,"description: Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.; categories: Action,Biography,Drama",Pelicula
10 Cloverfield Lane,"description: After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.; categories: Drama,Horror,Mystery",Pelicula
Finding Dory,"description: The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.; categories: Animation,Adventure,Comedy",Pelicula
Miss Peregrine's Home for Peculiar Children,"description: When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.; categories: Adventure,Drama,Family",Pelicula
Divergent,"description: In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.; categories: Adventure,Mystery,Sci-Fi",Pelicula
Mike and Dave Need Wedding Dates,"description: Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.; categories: Adventure,Comedy,Romance",Pelicula
Boyka: Undisputed IV,"description: In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for.; categories: Action",Pelicula
The Dark Knight Rises,"description: Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.; categories: Action,Thriller",Pelicula
The Jungle Book,"description: After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.; categories: Adventure,Drama,Family",Pelicula
Transformers: Age of Extinction,"description: Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help.; categories: Action,Adventure,Sci-Fi",Pelicula
Nerve,"description: A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""; categories: Adventure,Crime,Mystery",Pelicula
Mamma Mia!,"description: The story of a bride-to-be trying to find her real father told using hit songs by the popular '70s group ABBA.; categories: Comedy,Family,Musical",Pelicula
The Revenant,"description: A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.; categories: Adventure,Drama,Thriller",Pelicula
Fences,"description: A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.; categories: Drama",Pelicula
Into the Woods,"description: A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.; categories: Adventure,Comedy,Drama",Pelicula
The Shallows,"description: A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.; categories: Drama,Horror,Thriller",Pelicula
Whiplash,"description: A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.; categories: Drama,Music",Pelicula
Furious 6,"description: Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty.; categories: Action,Crime,Thriller",Pelicula
The Place Beyond the Pines,"description: A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.; categories: Crime,Drama,Thriller",Pelicula
No Country for Old Men,"description: Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.; categories: Crime,Drama,Thriller",Pelicula
The Great Gatsby,"description: A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.; categories: Drama,Romance",Pelicula
Shutter Island,"description: In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.; categories: Mystery,Thriller",Pelicula
Brimstone,"description: From the moment the new reverend climbs the pulpit, Liz knows she and her family are in great danger.; categories: Mystery,Thriller,Western",Pelicula
